,bal0,bal1,bal2,bal3,bal4,bal5,bal6,elev0,elev1,floor,hfloor,htype,kitarea,lat,livarea,lon,offertype,overallarea,parktype,price,rdate,roomarea0,roomarea1,roomarea2,roomarea3,roomarea4,roomarea5,roomarea6,rooms,slavnum,ulavnum,view
0,1 лодж,,,,,,,2 груз,,12,13,"новостройка,монолитный",5.0,55.790647,35.2,37.524314,свободная,46.2,,7810192,,22.0,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
1,1 лодж,,,,,,,1 пасс,1 груз,4,22,"вторичка,панельный",9.8,55.665543,19.0,37.453351,свободная,38.0,,6700000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,улица
2,,,,,,,,1 пасс,,2,7,"вторичка,кирпичный",5.5,55.797017,19.0,37.569719,альтернатива,31.0,наземная,7200000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двориулица
3,1 лодж,,,,,,,,,3,5,"вторичка,кирпичный",6.0,55.611958,30.0,37.288007,свободная,43.3,наземная,5950000,,,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
4,1 лодж,,,,,,,1 пасс,1 груз,7,17,"вторичка,панельный",9.0,55.646589,32.0,37.758626,свободная,54.0,,8450000,,14.5,17.5,0.0,0.0,0.0,0.0,0.0,2,1.0,,улица
5,нет,,,,,,,,,3,23,"новостройка,панельный",,55.863303,,37.366493,свободная,37.4,,4594330,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,,
6,1 балк,,,,,,,1 пасс,,7,9,вторичка,6.1,55.708557,30.5,37.814196,свободная,46.8,наземная,5600000,,18.9,11.6,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
7,,,,,,,,1 пасс,1 груз,1,8,новостройка,,55.78112,,37.570296,свободная,35.3,,9097475,"(4, 2017)",,0.0,0.0,0.0,0.0,0.0,0.0,1,,,двориулица
8,,,,,,,,1 пасс,1 груз,1,6,"новостройка,кирпично-монолитный",10.0,55.736909,65.5,37.62599,214,101.0,,28859000,"(2, 2019)",37.0,,0.0,0.0,0.0,0.0,0.0,2,,2.0,улица
9,1 балк,,,,,,,,,5,5,"вторичка,панельный",5.8,55.87891,29.5,37.519764,свободная,45.7,наземная,6300000,,10.6,18.9,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
10,нет,,,,,,,1 пасс,1 груз,6,17,вторичка,8.5,55.694079,19.0,37.504483,свободная,38.0,,8750000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,
11,1 балк,,,,,,,1 пасс,,9,9,"вторичка,кирпичный",6.0,55.735976,18.0,37.528738,свободная,33.0,наземная,6750000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
12,1 лодж,,,,,,,1 пасс,1 груз,6,9,"вторичка,панельный",7.0,55.894217,42.0,37.597513,свободная,60.0,наземная,7650000,,17.0,13.0,12.0,0.0,0.0,0.0,0.0,3,1.0,,двориулица
13,1 балк,,,,,,,1 пасс,,3,9,вторичка,5.6,55.701359,21.4,37.756021,свободная,32.1,,5100000,,21.4,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двориулица
14,1 лодж,,,,,,,1 пасс,1 груз,10,14,"вторичка,кирпичный",9.1,55.730086,19.5,37.633688,свободная,38.0,,9900000,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
15,1 лодж,,,,,,,1 пасс,1 груз,4,16,"вторичка,панельный",8.5,55.894318,31.5,37.612236,свободная,52.5,наземная,7500000,,20.0,11.5,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
16,нет,,,,,,,2 пасс,,4,12,"вторичка,панельный",8.0,55.848943,17.0,37.512155,свободная,32.0,наземная,5150000,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
17,нет,,,,,,,,,1,5,"вторичка,кирпичный",5.4,55.798272,16.2,37.464823,свободная,30.0,,5490000,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
18,,,,,,,,2 пасс,,3,12,вторичка,8.5,55.599606,19.0,37.721876,свободная,35.1,,5500000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
19,,,,,,,,1 пасс,1 груз,2,12,"вторичка,панельный",8.4,55.681712,20.7,37.859435,альтернатива,39.0,наземная,5600000,,20.7,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
20,нет,,,,,,,,,5,5,"вторичка,блочный",7.8,55.67292,20.0,37.59816,свободная,37.0,,4980000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
21,,,,,,,,,,1,5,"вторичка,кирпичный",6.0,55.730639,15.3,37.721193,свободная,30.0,наземная,4500000,,15.3,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
22,,,,,,,,1 пасс,,1,5,"вторичка,сталинский",9.2,55.785726,24.2,37.598914,свободная,46.4,наземная,8950000,,13.9,10.2,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
23,1 лодж,,,,,,,1 пасс,1 груз,2,19,"новостройка,кирпично-монолитный",15.6,55.774305,15.4,37.642132,свободная,43.6,,11118000,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
24,,,,,,,,,,1,3,"вторичка,кирпичный",6.0,55.775292,31.0,37.733778,свободная,46.0,наземная,5600000,,17.0,14.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
25,1 балк,,,,,,,4 пасс,4 груз,3,8,"новостройка,монолитный",10.0,55.770208,18.0,37.638036,свободная,48.8,,18356000,"(3, 2017)",,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,двориулица
26,1 балк,,,,,,,1 пасс,1 груз,11,29,новостройка,,55.722868,,37.615472,свободная,69.7,,24560666,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
27,нет,,,,,,,1 пасс,1 груз,9,17,"вторичка,панельный",9.0,55.755687,20.0,37.410915,свободная,38.0,,10400000,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
28,нет,,,,,,,,,5,5,"вторичка,кирпичный",7.0,55.873203,27.0,37.688629,свободная,42.0,,5950000,,16.0,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
29,2 лодж,,,,,,,1 пасс,1 груз,1,16,"вторичка,панельный",12.0,55.802098,28.0,37.572917,свободная,51.0,,8350000,,16.6,11.5,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
30,4 лодж,,,,,,,1 пасс,,3,4,"вторичка,панельный",11.8,55.542941,53.1,37.55672,альтернатива,90.3,наземная,11900000,,,,,0.0,0.0,0.0,0.0,3,1.0,,двориулица
31,нет,,,,,,,1 пасс,1 груз,6,23,"вторичка,кирпичный",20.1,55.76057,67.7,37.680733,свободная,105.0,,47250000,,25.5,,,0.0,0.0,0.0,0.0,3,2.0,,двор
32,1 балк,,,,,,,2 пасс,1 груз,11,22,"вторичка,панельный",11.0,55.548772,20.0,37.549696,свободная,39.0,наземная,5800000,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двориулица
33,1 лодж,,,,,,,1 пасс,1 груз,4,16,"вторичка,блочный",10.0,55.758423,19.0,37.838639,свободная,35.0,наземная,5500000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
34,1 балк,,,,,,,1 пасс,,6,9,вторичка,6.0,55.764734,28.0,37.833887,свободная,45.0,наземная,5600000,,18.0,10.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,улица
35,1 балк,,,,,,,1 пасс,1 груз,14,16,"вторичка,панельный",10.0,55.628683,19.0,37.79499,свободная,37.0,,4250000,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
36,,,,,,,,1 пасс,,5,5,вторичка,15.0,55.79099,55.0,37.594028,свободная,78.0,наземная,15500000,,24.0,19.0,12.0,0.0,0.0,0.0,0.0,3,,1.0,двор
37,,,,,,,,1 пасс,,2,12,"вторичка,панельный",22.0,55.726239,19.0,37.636554,свободная,45.0,наземная,10900000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
38,1 балк,,,,,,,,,5,5,"вторичка,панельный",5.1,55.749451,20.3,37.794837,свободная,32.9,,6000000,,20.3,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
39,1 балк,,,,,,,,,3,5,"вторичка,кирпичный",6.0,55.728058,32.0,37.435565,свободная,44.0,наземная,6900000,,,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
40,1 балк,,,,,,,1 пасс,1 груз,5,13,"новостройка,кирпично-монолитный",,55.723328,,37.620213,свободная,65.7,,24623000,,,,0.0,0.0,0.0,0.0,0.0,2,,2.0,двор
41,1 балк,,,,,,,1 пасс,,9,9,вторичка,6.0,55.862555,21.3,37.479402,свободная,31.4,,5550000,,21.3,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
42,нет,,,,,,,2 пасс,1 груз,16,23,"вторичка,кирпичный",16.0,55.684594,90.0,37.54551,свободная,150.0,подземная,56900000,,,,,0.0,0.0,0.0,0.0,3,1.0,1.0,двор
43,1 балк,,,,,,,1 пасс,1 груз,6,11,"вторичка,кирпичный",7.5,55.750727,33.0,37.562272,свободная,52.7,наземная,17150000,,2013.0,,0.0,0.0,0.0,0.0,0.0,2,1.0,,улица
44,1 лодж,,,,,,,2 пасс,,14,14,"вторичка,кирпичный",8.5,55.801131,32.0,37.508167,свободная,55.0,наземная,15000000,,18.0,14.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двориулица
45,нет,,,,,,,,,2,23,"новостройка,панельный",,55.863303,,37.366493,свободная,36.2,,3953287,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,,
46,1 лодж,,,,,,,1 пасс,2 груз,8,14,вторичка,9.0,55.6375,21.0,37.363565,свободная,39.0,,5500000,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,
47,1 лодж,,,,,,,2 пасс,1 груз,4,14,"новостройка,монолитный",5.0,55.790647,24.0,37.524314,переуступка,32.0,подземная,5600000,"(4, 2016)",24.0,,,,,,,студиявЖК«Лайнер»,,1.0,улица
48,1 балк,,,,,,,1 пасс,,3,8,"вторичка,кирпичный",8.0,55.804294,18.0,37.531514,свободная,38.0,наземная,8500000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
49,1 балк,,,,,,,1 пасс,,3,8,"новостройка,монолитный",20.0,55.770208,30.0,37.638036,свободная,51.0,,18310000,"(3, 2017)",20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,двор
50,нет,,,,,,,1 пасс,1 груз,2,7,"новостройка,кирпично-монолитный",,55.731075,,37.64348,свободная,38.7,,12533034,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
51,1 балк,,,,,,,1 пасс,1 груз,7,13,"новостройка,монолитный",11.0,55.700816,18.0,37.648631,свободная,34.2,,5180000,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,двориулица
52,1 балк,,,,,,,1 пасс,,4,9,"вторичка,панельный",6.7,55.868698,21.0,37.642025,свободная,36.0,,5700000,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
53,1 балк,,,,,,,1 пасс,1 груз,4,22,"новостройка,монолитный",17.9,55.622766,15.2,37.706353,свободная,38.1,,5875020,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
54,1 балк,,,,,,,2 пасс,,4,12,"вторичка,панельный",10.0,55.738267,20.0,37.677176,свободная,36.0,,7000000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
55,1 балк,,,,,,,1 пасс,1 груз,8,17,"вторичка,панельный",9.0,55.855598,20.0,37.662003,альтернатива,37.4,,8500000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
56,,,,,,,,2 пасс,1 груз,5,12,"вторичка,блочный",8.0,55.680702,20.0,37.723232,свободная,36.0,наземная,5000000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
57,1 балк,,,,,,,1 пасс,1 груз,2,18,новостройка,,55.850472,,37.623784,свободная,50.8,,6375908,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,,двориулица
58,1 балк,,,,,,,1 пасс,,4,8,"вторичка,кирпичный",23.4,55.751933,16.1,37.590075,свободная,51.4,наземная,30000000,,16.1,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
59,1 лодж,,,,,,,1 пасс,1 груз,3,17,"вторичка,панельный",9.0,55.561232,16.0,37.586176,свободная,39.0,,5990000,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
60,1 балк,,,,,,,1 пасс,,9,9,"вторичка,кирпичный",9.0,55.749172,36.0,37.560538,свободная,60.0,наземная,17950000,,21.0,15.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,улица
61,1 балк,,,,,,,,,3,5,вторичка,6.0,55.801162,29.6,37.826538,свободная,44.4,наземная,5500000,,,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
62,,,,,,,,,,1,5,вторичка,6.0,55.723506,28.0,37.525702,свободная,43.2,наземная,7800000,,,,0.0,0.0,0.0,0.0,0.0,2,,,
63,1 лодж,,,,,,,2 пасс,,7,14,"вторичка,панельный",6.5,55.625755,24.0,37.594962,свободная,40.0,,6300000,,14.0,10.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,
64,,,,,,,,1 пасс,,9,9,"вторичка,панельный",7.0,55.644089,19.0,37.716288,свободная,33.0,наземная,4500000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
65,нет,,,,,,,1 пасс,,7,9,вторичка,8.0,55.853445,23.0,37.642294,свободная,38.0,,7600000,,,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
66,нет,,,,,,,,,5,5,"вторичка,блочный",7.0,55.658297,18.0,37.574696,свободная,30.0,,4800000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
67,1 балк,,,,,,,2 пасс,,12,12,вторичка,8.0,55.596869,18.0,37.593695,свободная,33.0,наземная,5700000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
68,1 балк,,,,,,,1 пасс,,3,9,"вторичка,панельный",7.7,55.872652,25.0,37.633329,свободная,38.0,наземная,6500000,,15.0,10.0,0.0,0.0,0.0,0.0,0.0,2,,1.0,двориулица
69,,,,,,,,1 пасс,1 груз,7,16,"вторичка,кирпичный",6.0,55.676565,27.0,37.580391,свободная,37.0,,8500000,,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,улица
70,нет,,,,,,,,,5,5,"вторичка,панельный",6.0,55.701506,20.0,37.787803,свободная,33.0,,4800000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
71,1 лодж,,,,,,,1 пасс,1 груз,2,16,вторичка,10.0,55.800666,19.0,37.559011,свободная,38.0,наземная,8300000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
72,1 балк,,,,,,,,,2,5,"вторичка,кирпичный",6.0,55.67457,18.0,37.574139,свободная,31.0,наземная,6700000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
73,1 лодж,,,,,,,1 пасс,,1,12,"вторичка,кирпичный",13.5,55.800271,19.9,37.562245,свободная,41.5,,8500000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
74,1 лодж,,,,,,,2 пасс,2 груз,15,18,вторичка,12.0,55.782668,22.0,37.661033,свободная,45.0,,12000000,,21.5,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
75,1 балк,,,,,,,1 пасс,1 груз,4,9,"вторичка,монолитный",12.4,55.677813,31.8,37.632116,свободная,66.3,,13657800,,18.2,13.4,0.0,0.0,0.0,0.0,0.0,2,,1.0,двориулица
76,1 лодж,,,,,,,1 пасс,1 груз,13,17,"вторичка,панельный",8.0,55.730497,19.0,37.461373,свободная,38.0,,7800000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
77,,,,,,,,1 пасс,1 груз,2,12,"вторичка,панельный",10.0,55.762156,31.0,37.822379,свободная,52.0,наземная,7000000,,19.0,12.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
78,нет,,,,,,,,,5,5,"вторичка,кирпичный",5.5,55.71839,16.0,37.459675,свободная,28.9,,5100000,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двориулица
79,нет,,,,,,,1 пасс,1 груз,7,24,"вторичка,панельный",12.0,55.501355,19.0,37.596956,свободная,40.0,,4550000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
80,1 лодж,,,,,,,2 пасс,,6,14,"вторичка,панельный",9.4,55.883176,19.3,37.707503,альтернатива,40.8,наземная,6000000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,
81,1 лодж,,,,,,,2 пасс,,7,12,"вторичка,панельный",6.7,55.717087,18.0,37.391583,свободная,32.0,наземная,5800000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
82,1 балк,,,,,,,1 пасс,,5,9,"вторичка,панельный",6.5,55.607509,21.0,37.731407,свободная,35.0,,5250000,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
83,,,,,,,,1 пасс,1 груз,14,24,"новостройка,кирпичный",,55.756004,35.0,37.510623,214,63.5,,14300000,"(2, 2017)",20.0,,0.0,0.0,0.0,0.0,0.0,2,,,
84,,,,,,,,1 пасс,1 груз,4,7,"новостройка,кирпично-монолитный",,55.649277,,37.497643,214,42.6,,6074760,"(1, 2017)",,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,
85,1 балк,,,,,,,,,4,5,"вторичка,кирпичный",5.5,55.762885,17.0,37.733329,свободная,31.0,,5000000,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,улица
86,1 балк,,,,,,,1 пасс,1 груз,3,7,"вторичка,кирпично-монолитный",14.0,55.892158,18.5,37.386705,свободная,47.0,,9000000,,18.5,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
87,1 лодж,,,,,,,1 пасс,,6,9,вторичка,6.0,55.579653,42.5,37.645842,свободная,57.9,,6100000,,,,,0.0,0.0,0.0,0.0,3,1.0,,двор
88,,,,,,,,1 пасс,1 груз,2,12,вторичка,8.5,55.733498,19.0,37.856668,свободная,38.0,наземная,5200000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
89,,,,,,,,2 пасс,2 груз,18,19,"новостройка,монолитный",5.0,55.604856,20.0,37.656931,переуступка,25.6,подземная,2350000,"(3, 2017)",20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,улица
90,,,,,,,,1 пасс,,2,8,"вторичка,сталинский",7.0,55.830832,28.0,37.646606,свободная,45.0,,8950000,,14.0,14.0,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
91,1 балк,,,,,,,,,4,5,вторичка,6.0,55.624139,21.0,37.671732,альтернатива,32.0,,4950000,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
92,1 балк,,,,,,,1 пасс,2 груз,24,24,"вторичка,панельный",8.5,55.675433,15.1,37.444889,свободная,37.0,наземная,6454280,,15.07,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двориулица
93,1 лодж,,,,,,,1 пасс,,5,9,"вторичка,панельный",7.4,55.859862,24.0,37.563125,свободная,40.0,наземная,5900000,,14.0,9.0,0.0,0.0,0.0,0.0,0.0,2,,1.0,двориулица
94,,,,,,,,,,1,12,"вторичка,панельный",7.0,55.746117,19.9,37.409011,свободная,34.7,,6500000,,19.9,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
95,нет,,,,,,,2 пасс,2 груз,15,24,"вторичка,панельный",9.0,55.560688,18.0,37.587263,свободная,39.0,,6300000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
96,1 балк,,,,,,,1 пасс,1 груз,14,17,"вторичка,панельный",9.5,55.644846,31.0,37.342364,свободная,54.2,наземная,7300000,,,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
97,нет,,,,,,,1 пасс,1 груз,9,9,"вторичка,кирпичный",8.0,55.747687,70.0,37.800631,альтернатива,106.0,,18490000,,20.0,,,,,0.0,0.0,5,2.0,,двор
98,1 лодж,,,,,,,1 пасс,,3,16,"вторичка,панельный",6.0,55.972383,19.0,37.148499,свободная,35.0,,4000000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
99,нет,,,,,,,1 пасс,,7,9,"вторичка,панельный",6.0,55.852384,19.0,37.446515,свободная,33.0,,6177777,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
100,нет,,,,,,,1 пасс,1 груз,30,32,"новостройка,кирпично-монолитный",,55.645719,21.9,37.704716,свободная,31.4,,4660214,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
101,нет,,,,,,,1 пасс,,6,9,"вторичка,панельный",7.0,55.881646,19.0,37.538269,свободная,33.0,,5200000,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,
102,1 балк,,,,,,,1 пасс,1 груз,7,17,"вторичка,панельный",7.1,55.701572,15.6,37.937247,свободная,32.6,,3912000,,15.6,0.0,0.0,0.0,0.0,0.0,0.0,1,,,
103,,,,,,,,2 пасс,,2,12,"вторичка,блочный",10.0,55.796142,20.0,37.7699,свободная,35.0,наземная,5400000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,
104,нет,,,,,,,,,4,5,"вторичка,панельный",6.0,55.784784,19.0,37.477327,свободная,35.0,,5800000,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
105,нет,,,,,,,4 пасс,,18,27,новостройка,,55.842603,,37.373409,свободная,27.7,,5005000,"(0, 0)",,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,
106,1 балк,,,,,,,1 пасс,1 груз,24,27,"вторичка,кирпично-монолитный",,55.714191,75.0,37.670914,свободная,144.0,подземная,41000000,,25.0,25.0,25.0,0.0,0.0,0.0,0.0,3,1.0,1.0,двориулица
107,,,,,,,,2 пасс,,9,9,"вторичка,панельный",6.0,55.868986,28.0,37.567213,свободная,44.0,наземная,5600000,,17.0,11.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
108,нет,,,,,,,1 пасс,,9,12,"вторичка,панельный",7.0,55.58266,19.0,37.663288,свободная,35.0,,4500000,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,
109,,,,,,,,,,2,6,вторичка,40.0,55.832495,150.0,37.470356,свободная,194.0,,121035424,,30.0,40.0,45.0,35.0,0.0,0.0,0.0,4,3.0,,двор
110,,,,,,,,1 пасс,,1,9,"вторичка,кирпичный",12.0,55.675976,35.0,37.542285,свободная,54.0,наземная,10500000,,,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
111,1 балк,,,,,,,1 пасс,1 груз,14,16,вторичка,10.0,55.619284,32.2,37.726951,свободная,54.0,наземная,8000000,,18.0,14.2,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
112,нет,,,,,,,2 пасс,1 груз,4,29,новостройка,,55.775753,29.5,37.671938,свободная,29.5,,6449418,"(4, 2017)",29.5,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,
113,1 балк,,,,,,,1 пасс,1 груз,3,4,"вторичка,кирпичный",,55.789289,62.0,37.65699,свободная,62.9,,11000000,,,,0.0,0.0,0.0,0.0,0.0,2,,,улица
114,1 лодж,,,,,,,1 пасс,1 груз,10,16,вторичка,9.0,55.628261,29.0,37.795511,свободная,50.4,,6190000,,16.0,13.0,0.0,0.0,0.0,0.0,0.0,2,,,двориулица
115,,,,,,,,2 пасс,,1,12,вторичка,9.0,55.748589,18.0,37.799149,альтернатива,34.0,,5000000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
116,1 лодж,,,,,,,1 пасс,1 груз,17,17,"вторичка,монолитный",9.0,55.625343,20.0,37.488035,свободная,38.0,наземная,6799999,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
117,,,,,,,,1 пасс,,9,9,вторичка,7.0,55.707197,19.0,37.819702,свободная,32.2,,5300000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,двор
118,нет,,,,,,,,,14,14,"новостройка,монолитный",32.3,55.699467,59.8,37.635294,свободная,130.8,,51003600,,12.0,,,,0.0,0.0,0.0,4,3.0,,улица
119,1 лодж,,,,,,,1 пасс,,6,6,"вторичка,кирпичный",6.0,55.792554,30.5,37.779242,свободная,44.0,,7500000,,,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
120,1 лодж,,,,,,,1 пасс,,9,9,"вторичка,панельный",6.5,55.881672,35.0,37.556765,свободная,52.0,наземная,7500000,,35.0,,,0.0,0.0,0.0,0.0,3,1.0,,двор
121,1 балк,,,,,,,1 пасс,2 груз,4,25,"новостройка,панельный",9.0,55.703309,18.9,37.937965,214,39.5,,4236500,"(4, 2016)",18.9,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
122,1 лодж,,,,,,,1 пасс,,6,9,"вторичка,кирпичный",7.5,55.738008,18.0,37.471336,свободная,32.0,,5850000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,улица
123,нет,,,,,,,1 пасс,1 груз,9,26,"новостройка,монолитный",3.4,55.743254,13.2,37.421668,свободная,23.5,,7165150,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
124,1 лодж,,,,,,,2 пасс,,8,12,"вторичка,панельный",6.0,55.750525,16.0,37.407645,свободная,32.0,наземная,6200000,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,улица
125,1 балк,,,,,,,2 пасс,,14,14,"вторичка,блочный",6.0,55.670128,23.5,37.607233,альтернатива,38.5,,7500000,,13.7,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двориулица
126,,,,,,,,3 пасс,1 груз,7,12,"вторичка,панельный",11.0,55.723643,16.0,37.384433,свободная,36.0,наземная,5150000,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,
127,1 балк,,,,,,,1 пасс,,9,9,"вторичка,кирпичный",27.0,55.752911,85.0,37.655688,альтернатива,152.0,наземная,55000000,,,,,,,0.0,0.0,5,,1.0,двориулица
128,,,,,,,,,,1,5,вторичка,6.0,55.671991,20.0,37.560386,свободная,32.0,наземная,5300000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
129,,,,,,,,,,2,214,новостройка,,55.806621,,37.616962,214,46.2,,6899970,"(4, 2017)",,0.0,0.0,0.0,0.0,0.0,0.0,1,,,
130,нет,,,,,,,4 пасс,,9,27,новостройка,,55.842603,,37.373409,свободная,27.6,,5005000,"(0, 0)",,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,
131,1 лодж,,,,,,,2 пасс,1 груз,14,16,вторичка,9.0,55.675544,17.0,37.537371,свободная,40.0,наземная,10450000,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
132,1 лодж,,,,,,,1 пасс,3 груз,12,33,"вторичка,монолитный",16.0,55.863631,19.0,37.478414,свободная,46.2,подземная,9000000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
133,нет,,,,,,,1 пасс,1 груз,10,13,"вторичка,кирпично-монолитный",,55.722142,1.0,37.618569,свободная,194.2,,1730000,,194.0,,,,,0.0,0.0,5,2.0,2.0,двориулица
