,bal0,bal1,bal2,bal3,bal4,bal5,bal6,elev0,elev1,floor,hfloor,htype,kitarea,lat,livarea,lon,offertype,overallarea,parktype,price,rdate,roomarea0,roomarea1,roomarea2,roomarea3,roomarea4,roomarea5,roomarea6,rooms,slavnum,ulavnum,view
307,нет,,,,,,,1 пасс,2 груз,1,22,"новостройка,монолитный",,55.835565,,37.4958,свободная,32.7,,6703500,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
308,1 лодж,,,,,,,1 пасс,,7,9,вторичка,6.8,55.641254,44.0,37.533077,свободная,59.0,,9490000,,,,,0.0,0.0,0.0,0.0,3,1.0,,двориулица
309,1 балк,,,,,,,1 пасс,1 груз,6,9,"новостройка,монолитный",,55.675787,,37.631933,свободная,42.6,,9398570,"(4, 2016)",,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,двориулица
310,нет,,,,,,,1 пасс,,1,9,"вторичка,панельный",7.0,55.710306,20.0,37.793247,свободная,33.0,,4550000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
311,1 балк,,,,,,,1 пасс,,14,14,"вторичка,панельный",6.2,55.802674,23.0,37.829467,свободная,40.5,,5500000,,,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двориулица
312,1 балк,,,,,,,1 пасс,,5,9,"вторичка,кирпичный",6.0,55.73003,18.0,37.676753,свободная,33.1,,6600000,,13.0,5.0,0.0,0.0,0.0,0.0,0.0,2,,1.0,двориулица
313,нет,,,,,,,1 пасс,1 груз,21,37,"вторичка,монолитный",14.0,55.652659,83.0,37.475513,свободная,126.0,,65000000,,,,,0.0,0.0,0.0,0.0,3,,2.0,двориулица
314,1 лодж,,,,,,,1 пасс,1 груз,8,16,"вторичка,панельный",11.0,55.774305,28.0,37.642132,свободная,50.0,,10029600,,17.0,,0.0,0.0,0.0,0.0,0.0,2,,1.0,
315,нет,,,,,,,1 пасс,1 груз,10,17,"вторичка,панельный",7.1,55.701841,15.6,37.936196,свободная,31.8,,3975000,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
316,нет,,,,,,,1 пасс,1 груз,3,18,"новостройка,монолитный",20.7,55.850616,11.5,37.618053,свободная,41.3,,6608000,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
317,1 балк,,,,,,,1 пасс,1 груз,3,7,"новостройка,монолитный",12.0,55.649277,21.0,37.497643,214,40.0,,6000000,"(1, 2017)",21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,
318,1 балк,,,,,,,1 пасс,1 груз,5,17,вторичка,11.0,55.731212,22.0,37.415442,свободная,38.0,,6800000,,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,двор
319,,,,,,,,,,1,5,вторичка,6.0,55.705118,31.0,37.759416,свободная,45.0,,5400000,,,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
320,1 лодж,,,,,,,1 пасс,1 груз,17,22,"новостройка,монолитный",12.6,55.575169,38.8,37.674418,предварительный,51.4,подземная,7609770,"(0, 0)",19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двориулица
321,нет,,,,,,,,,1,5,вторичка,6.0,55.674666,42.0,37.487712,свободная,56.0,,11000000,,15.0,12.0,15.0,0.0,0.0,0.0,0.0,3,,,двор
322,нет,,,,,,,1 пасс,2 груз,2,22,"новостройка,монолитный",,55.835565,,37.4958,свободная,34.4,,6940544,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
323,,,,,,,,1 пасс,,2,9,вторичка,6.0,55.724738,21.5,37.664509,свободная,31.5,наземная,6000000,,21.5,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,
324,нет,,,,,,,1 пасс,,6,7,"вторичка,кирпичный",14.0,55.753995,26.0,37.604682,свободная,50.0,,21420000,,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
325,1 лодж,,,,,,,1 пасс,1 груз,18,22,вторичка,11.0,55.639517,45.0,37.69109,свободная,76.0,наземная,11700000,,19.0,14.0,12.0,0.0,0.0,0.0,0.0,3,1.0,,двор
326,нет,,,,,,,1 пасс,,3,9,"вторичка,панельный",6.0,55.57661,42.0,37.653011,свободная,56.0,наземная,6100000,,,,,0.0,0.0,0.0,0.0,3,1.0,,двор
327,1 балк,,,,,,,2 пасс,,7,12,вторичка,10.0,55.842595,19.7,37.533652,альтернатива,35.0,,6480000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
328,1 балк,,,,,,,,,5,5,"вторичка,кирпичный",5.6,55.724591,25.7,37.780958,свободная,42.1,,5600000,,,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
329,1 балк,,,,,,,1 пасс,1 груз,4,17,"вторичка,панельный",9.0,55.755642,32.0,37.40946,свободная,52.0,,10100000,,18.13,,0.0,0.0,0.0,0.0,0.0,2,,1.0,улица
330,1 лодж,,,,,,,1 пасс,1 груз,13,13,"вторичка,кирпично-монолитный",26.1,55.64192,35.6,37.523456,свободная,85.0,подземная,24900000,,19.6,16.0,0.0,0.0,0.0,0.0,0.0,2,,2.0,двор
331,,,,,,,,1 пасс,,1,9,вторичка,6.0,55.857346,28.0,37.50893,свободная,44.0,наземная,5100000,,19.0,9.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двориулица
